Cloud,Vmware stack ,VMware Cloud Technical specialist,,Virtualization ,understand the basics (Gareth intro) ,knowledge based on Vmware Vsphere ICM training ,VCP (knowledge and certifications/contract) ,"knows the difference between Virtualization Hypervisors (Vmware, Hyper V, OpenStack) ",,,,,,,,,,,,
Cloud,MS Stack,Microsoft Cloud Technical Specialist,Applications ,Configuration Manager SCCM,,,,"Maintenance
*Monitoring baseline customization - creating overrides according to guide from design ","Installation
* Instalation of SCCM according to design document

Maintenance
*Monitoring SCCM components health 
* Updates of Management packs 
*Monitoring baseline customization - creating overrides according to guide from design ",,,,,,,,,,,
Cloud,MS Stack,Microsoft Cloud Technical Specialist,Applications ,Orchestrator SCOR,,,"Maintenance
*Powershell knowledge ","Maintenance
*Powershell knowledge ","Maintenance
*Monitoring SCOR components health 
*Powershell knowledge ",,,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,Linux,"RedHat6,7,8 Suse 11,12,13",,"Basic shell commands:
(Create, delete, copy, and move files and directories and edit text files)
- Account Management ( useradd / usermod )
- List, set, and change standard ugo/rwx permissions
- Firewall - basic understanding and ability to identify showstopper (RH)
- Basic differences between RHEL 6 and RHEL 7
- LVM basic operations (list, create filesystem,extend Filesystem)  (RH)
- Access remote systems using SSH, OA, iLO
- Use system documentation (man pages...)","Troubleshooting (locate and read log files, filesystems usage, system utilization, HW failures...)
- Network configuration (IP, routes, ...)
- Firewall (iptables, firewalld)
- List and identify running processes and start-up services
- Disk operations (LVM)
- Basic knowledge about cluster systems
- Basic overview about server virtualization VMware, Hyper-V and physical servers
- Knowledge about additional permissions ACL
- Basic knowledge about repository handling","System updates with troubleshooting
- Package installation/reinstallation/uninstallation from repository and unexpected dependencies
- Advanced disk operations
- Advanced network configuration, firewall
- Knowledge about network shares
- Knowledge about scripting and automation
- Basic SELinux operations",,,,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,RedHat ,Satellite,,able to install package from configured repo,register server to Satellite/RHN,"server repository based troubleshooting, RHN registration, creation of installation ISO files",,,,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,Windows Server,"Administration Fundamentals 
(Exam 98-365)",,"Device Drivers
Services
Server Installation Options
Server Roles
Remote Access
File and Print Services
Server Virtualization
AD accounts and groups
OUs, Delagation
AD infrastructure
Group Policy
Storage technologies, scenarios
RAID redundancy
Disk types
HW components
Performance monitoring
Logs, Alerts, Event Viewer
Startup process
Business Continuity
Troubleshooting methods
Scheduled jobs
VBS scripts","MTA Certification
(Exam 98-365)","MTA Certification
(Exam 98-365)","MTA Certification
(Exam 98-365)","MTA Certification
(Exam 98-365)",,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,TOOLS,Automation tool - BSA  (BMC),,"Static/Smart group creation
Agent installation, troubleshooting
Job creation/customization
Patching","Static/Smart group creation
Agent installation, troubleshooting
Job creation/customization
Patching","Scripting (PowerShell, or NSH scripting) = DevOps 
Introduction to BSA provisioning","Scripting (PowerShell, or NSH scripting) = DevOps 
Introduction to BSA provisioning","Scripting (PowerShell, or NSH scripting) = DevOps 
Owner of BSA provisiong JOBs, tuning of provisioning",,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,TOOLS,"CMDB (TONE,NUBO,DOMO)",,"Able to create/process all type of tickets (Incident/Request/Problem/Change/Task/KB/CMDB) 
SLA/OLA
Critical queue
Knows how to process 150/425 tasks",Change desing,Change desing,Change desing,Change desing,,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,TOOLS,Automation tool - TEA (SLM),,,,,,,,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,PowerShell,Scripting ,,Basic queries,"Loops, set parameters",,,,,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,Bash,Scripting ,,Basic queries,"Loops, set parameters ",,,,,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,TOOLS ,"Internal orders (gOrder, Catalog Item orders)",,Know how to process internal orders,Know how to process internal orders,Know how to process internal orders,Know how to process internal orders,Know how to process internal orders,,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,TOOLS ,"Internal Tieto Tools (MyData, MyTime, ShiftMaster, VPN, AARM, Google Apps, O365, Workday)",,Understand internal Tieto tools and knows how to use them,Understand internal Tieto tools and knows how to use them,Understand internal Tieto tools and knows how to use them,Understand internal Tieto tools and knows how to use them,Understand internal Tieto tools and knows how to use them,,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,TOOLS ,"Tieto platforms and remote management (TPC, TCS, Azure, x86 virtual and physical capacity, onPremise, TCSO, emergency access)",,Undestand all Tieto plaforms/environments and knows how to access them,Undestand all Tieto plaforms/environments and knows how to access them,Undestand all Tieto plaforms/environments and knows how to access them,Undestand all Tieto plaforms/environments and knows how to access them,Undestand all Tieto plaforms/environments and knows how to access them,,,,,,,,,,
Cloud,Implementation,Server Implementation Specialist,HP,Server Infra - Rack Server ,,"How to access iLO, basic cofiguration, iLO registration",,,,,,"Planning
*creating installation checklist according to Datacenter (networks - SAN+ Ethernet, Enclosure internal switch selecting/defining parameters, cabling, Rack location planning, Resources allocation plan)
*Capacity planning 
*Financial Planning - Investment proposal 
*CI preparation ",,,,,,,,
Cloud,Implementation,Server Implementation Specialist,HP ,Server Infra - Blades ,,"Access to VCM
blade profile management
accessing blade - basic problem soleving skill",,,,,,"Planning
*creating installation checklist according to Datacenter (networks - SAN+ Ethernet, Enclosure internal switch selecting/defining parameters, cabling, Rack location planning, Resources allocation plan)
*Capacity planning 
*Financial Planning - Investment proposal
*CI preparation ",,,,,,,,
Computing,Windows ,Windows Technical Specialist,PowerShell,Scripting ,,"Basic ""Get-/Select-"" queries
WMI queries","PSRemoteSession
Variables
Basic functions
Exports","Foreach loops
Functions
""Set-"" queries
Import/Export",,"DevOps
Modules
Advanced Functions
Automation",,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,Windows Server,"Administration Fundamentals 
(Exam 98-365)",,"Device Drivers
Services
Server Installation Options
Server Roles
Remote Access
File and Print Services
Server Virtualization
AD accounts and groups
OUs, Delagation
AD infrastructure
Group Policy
Storage technologies, scenarios
RAID redundancy
Disk types
HW components
Performance monitoring
Logs, Alerts, Event Viewer
Startup process
Business Continuity
Troubleshooting methods
Scheduled jobs
VBS scripts","MTA Certification
(Exam 98-365)","MTA Certification
(Exam 98-365)","MTA Certification
(Exam 98-365)","MTA Certification
(Exam 98-365)",,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,Windows Server,"? Installation, Storage, and Compute with Windows Server�
(Exam 70-740)",,,"Installation requirements
OS + roles configuration
Server management
KMS, AD based activation
Disk and volumes configuration
Shares, quotes
MPIO
Data deduplication
Hyper-V, VM basic configuration
High Availibility - Failover Clusters
High Availibility - Hyper-V Replica
Network Load Balancing
WSUS
Resource monitoring - EventLog, Collector Sets","MCSA Certfication
(70-740
70-741
70-742)","MCSA Certfication
(70-740
70-741
70-742)","MCSA Certfication
(70-740
70-741
70-742)",,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,Windows Server,"Networking with Windows Server 2016�
(Exam 70-741)",,,"DNS server installation, configuration
DNS Zones and records, configuration, debug
DHCP, IPAM implementation
NAT, VPN, NPS
IPv4, IPv6 addressing
DFS, Branch office solutions
QoS, high performance networks ",,,,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,Windows Server,"Active Directory DS, CS, FS
(Exam 70-742)",,,"Install and configure AD DS
Manage and maintain AD DS
Create and Manage Group Policy
AD Certificate Services","Install and configure AD DS
Manage and maintain AD DS
Create and Manage Group Policy
AD Certificate Services","Install and configure AD DS
Manage and maintain AD DS
Create and Manage Group Policy
AD Certificate Services","Install and configure AD DS
Manage and maintain AD DS
Create and Manage Group Policy
AD Certificate Services",,,,,,,,,,
